[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[7.00 - 14.00] P:1663.73 E:0.091882 |  It is Mason Mount who starts things off. England in the almost all-white kit with the blue trim on the shoulders,
[14.00 - 21.00] P:1569.82 E:0.094115 |  the blue numbers on the backs and the United States in an all-darkish blue kit tonight with white numbers on the back.
[21.00 - 28.00] P:1502.84 E:0.094767 |  And the American team just the one change. Hadji Wright, the number 19 coming in up front in place of Josh Sargent,
[28.00 - 34.00] P:1396.91 E:0.093532 |  who's down on the bench, the Norwich City man. So the American team, Turner in goal, the Arsenal goalkeeper at the back,
[34.00 - 41.00] P:1455.11 E:0.088418 |  Dest Zimmerman, Reem and Robinson of Fulham and then Adams of Leeds with Western McKenney and Eunice Musa,
[41.00 - 46.00] P:1565.16 E:0.095437 |  who could have played for England, the 19-year-old but is playing for the United States in this match,
[46.00 - 54.00] P:1572.49 E:0.095321 |  as the ball is played back to goalkeeper Turner, who looked a little awkward there, he was off balance as he was played back to him by Zimmerman,
[54.00 - 59.00] P:1336.10 E:0.095112 |  but he was able to get it away out of play on the far side and to complete that United States line-up.
[59.00 - 64.00] P:1562.54 E:0.099001 |  Timothy Ware, who scored their first goal at this world cup, the opening goal against Wales on the right,
[64.00 - 70.00] P:1597.04 E:0.092462 |  Christian Pulasik of Chelsea on the left and as I say Hadji Wright taking over from Josh Sargent.
[70.00 - 77.00] P:1500.27 E:0.091300 |  And Hadji Wright of Antalya Spore, he plays his football in Turkey, he's a big guy, 6'3 tall.
[77.00 - 83.00] P:1563.20 E:0.097294 |  And here he is, the ball played through to him but it's got too much on it and England just see it back to goalkeeper Pickford,
[83.00 - 89.00] P:1502.45 E:0.087656 |  who clears long left footed for the half-way line where it's headed forward by Zimmerman,
[89.00 - 96.00] P:1346.14 E:0.087819 |  who conceded the penalty from which Gareth Bale equalised in their first match in the group.
[96.00 - 107.00] P:1506.64 E:0.102792 |  And then there is a foul for a challenge by Luke Shaw, which has resulted in Dest actually being bundled off the field.
[107.00 - 114.00] P:1472.09 E:0.097934 |  So it's a free kick on the far side, get noise inside the ground, Rob Green, England 0, USA 0 in the second minute.
[114.00 - 119.00] P:1557.17 E:0.088862 |  Yeah, lively atmosphere and a lively start from both sides, they just initially iron each other up,
[119.00 - 126.00] P:1423.86 E:0.091459 |  but then when they saw the moments about both sides when they had possession, drove forwards really fast.
