[0.00 - 4.64] P:1650.91 E:0.056779 |  We knew in advance that they would do that. The players felt that was important.
[4.64 - 10.92] P:1573.43 E:0.101650 |  They have done that and the Brazilian referee Rafael Klaus blows his whistle.
[10.92 - 16.60] P:1556.67 E:0.097691 |  Iran get us underway and this very first official international match between
[16.60 - 22.08] P:1438.60 E:0.099151 |  England and Iran is underway. England and Iran their first match at this World Cup
[22.08 - 26.92] P:1560.01 E:0.096787 |  this 2022 World Cup and England in the white shirts with the blue trim, blue
[26.96 - 31.36] P:1478.00 E:0.097664 |  across the shoulders, blue shorts and white socks and England playing from left
[31.36 - 36.44] P:1538.96 E:0.101903 |  to right as we look in this first half. This wide open very airy stadium I must
[36.44 - 39.92] P:1407.82 E:0.104569 |  say. It certainly doesn't feel oppressive inside the ground obviously the
[39.92 - 45.32] P:1434.44 E:0.093878 |  air-conditioned system is working but England with the ball on the pitch
[45.32 - 50.72] P:1541.27 E:0.097311 |  surface which is entirely in shade I must say as well. So none of the players
[50.72 - 55.68] P:1543.70 E:0.092969 |  down there in direct sunlight either and England in possession if you've just
[55.68 - 60.08] P:1620.57 E:0.098188 |  switched on to us on five live 4-3-3 the England system that Garrel Southgate
[60.08 - 64.04] P:1592.98 E:0.095013 |  starting with and that involves Kieran Trippier the in-form new Castleman on
[64.04 - 68.24] P:1545.00 E:0.091675 |  the right-hand side. Jude Bellingham takes over and then the ball is back to
[68.24 - 71.88] P:1457.27 E:0.102717 |  the halfway line again and Harry Maguire will be some focus on his
[71.88 - 76.52] P:1327.57 E:0.101555 |  involvement today. Maguire and Sterling as well winning his 80th cap Raheem
[76.52 - 82.04] P:1461.16 E:0.097500 |  Sterling joining the 80 plus hot cap club for England. He gets a touch on the left
[82.08 - 85.80] P:1324.58 E:0.092584 |  hand side now and then back it goes to John Stones in the centre circle. So
[85.80 - 89.36] P:1528.53 E:0.101967 |  Stones and Maguire the two central defenders Trippier on the right, Sean
[89.36 - 93.76] P:1518.83 E:0.089035 |  the left, Pickford in goal winning his 46th cap then Rice with Darringham and
[93.76 - 100.16] P:1450.61 E:0.085829 |  Mount in midfield and Saka and Sterling either side of Harry Kane through the
[100.16 - 105.68] P:1500.33 E:0.091427 |  middle. Harry Kane on 51 goals for England so just two behind Wayne Rooney's
[105.68 - 111.32] P:1478.21 E:0.091020 |  record for the England men's team and also remember Harry Kane has scored ten
[111.68 - 116.56] P:1478.57 E:0.100713 |  goals in finals tournaments and that is level with Gary Linnick as Wreckle. He
[116.56 - 120.88] P:1558.29 E:0.106234 |  has Trippier now down the right-hand side whips the ball across Sterling was
[120.88 - 124.40] P:1494.49 E:0.099823 |  there was headed away comes out to Bellingham who gives it back to Rice
[124.40 - 128.36] P:1492.14 E:0.097112 |  then the ball to the left-hand side for the in-form now Luke Shaw slips it
[128.36 - 132.64] P:1452.58 E:0.105803 |  forward into the penalty area but will bounce away through for what is given as
[132.64 - 136.32] P:1657.36 E:0.099759 |  the first corner of the match. Mason Mount just allowed it to roll because it
[136.32 - 140.24] P:1474.17 E:0.102654 |  had taken a touch off an Iranian defender. Yeah really confident start from England
[140.28 - 143.00] P:1655.13 E:0.105820 |  really good start everyone getting a feel of the ball but the time he finished
[143.00 - 147.56] P:1604.92 E:0.100361 |  then England had the ball the entire time you introduce the introduction
[147.56 - 151.52] P:1535.33 E:0.098637 |  there John and they took every single player got the foot on the ball creating
[151.52 - 155.56] P:1483.79 E:0.101170 |  some space here Trippier down the right-hand side getting a good cross in
[155.56 - 160.44] P:1530.13 E:0.095088 |  Sterling could have just attacked it going second guess himself but strong
[160.44 - 165.76] P:1526.49 E:0.102040 |  start remember four years ago England scored nine set pieces out of their 12
[165.80 - 170.32] P:1569.60 E:0.100729 |  goals first set piece for England at this will come Trippier swings it in to
