[0.00 - 11.00] P:1617.17 E:0.100990 |  For what has been described as a period of silence in memory of Her Majesty Queen Elizabeth II.
[60.00 - 67.00] P:1762.39 E:0.117819 |  In a period of silence there were a few heckles but it was just a minority.
[67.00 - 71.00] P:1828.67 E:0.124930 |  Jürgen Klopp had said he will show his respect with silence.
[71.00 - 78.00] P:1820.20 E:0.107498 |  Sir Kenny Dalglish had talked about respect costs nothing and goes both ways.
[81.00 - 89.00] P:1680.67 E:0.107195 |  In a crowd of probably around 54,000 you're talking of one, two or three voices that tried to spoil it.
[89.00 - 97.00] P:1781.15 E:0.083740 |  But the majority certainly did show their respects to Her Majesty Queen Elizabeth II.
[99.00 - 109.00] P:1800.12 E:0.105346 |  You're listening to BBC Radio 5 Live, live here in Anfield and the referee blows his whistle and Liverpool get us underway.
[110.00 - 119.00] P:1744.10 E:0.091430 |  All in red playing from right to left as the Ajax supporters and alternate rows
[119.00 - 126.00] P:1728.22 E:0.095677 |  are swaying from side to side which can have quite a dizzying effect from a visual point of view.
[126.00 - 131.00] P:1648.86 E:0.099459 |  And thankfully now they just break out jumping up and down in unison.
[131.00 - 137.00] P:1701.98 E:0.107743 |  Liverpool I'm sure felt a little bit dizzy at times when they conceded the four goals in Naples.
[137.00 - 144.00] P:1825.68 E:0.102589 |  They're looking for a steady influence from this side today to try and get themselves back on track against an Ajax side.
[147.00 - 151.00] P:1767.86 E:0.108116 |  Cammered rangers by four goals to nil.
[151.00 - 155.00] P:1785.21 E:0.103910 |  So busy nights in the football league.
[155.00 - 163.00] P:1765.06 E:0.115200 |  Early goals to tell you about Walsall nil, Colchester 1, Middlesbrough nil, Cardiff 1, Bradford Sickenley to get Tramir by a goal to nil.
[163.00 - 166.00] P:1837.32 E:0.117729 |  Crawley 1, Stortport nil, Grimsby 1, Jillingham nil.
[166.00 - 171.00] P:1846.46 E:0.120551 |  Swindon nil, Sutton 1, Charlton 1, Forrest Green nil, Lincoln Lee Derby by a goal to nil.
[171.00 - 176.00] P:1751.20 E:0.109190 |  Grimsby 1, Jillingham 1 and you're up to date as Liverpool are attacking.
[176.00 - 184.00] P:1836.69 E:0.100646 |  Out towards Salah, enters the penalty area, tries to pass the ball in low and cleared away by Daly Blint.
[184.00 - 190.00] P:1734.23 E:0.089519 |  Here is Elliott, passes the ball forward, reaches Salah out on that far side.
[190.00 - 195.00] P:1876.83 E:0.098968 |  Liverpool all in red, playing from right to left.
[195.00 - 201.00] P:1716.83 E:0.087681 |  There's a good move from Liverpool, that start of the Thiago, quick long switch.
[201.00 - 211.00] P:1757.13 E:0.096433 |  Ball hooked away by Alvarez on the edge of the penalty area, taken high on the chest by Virgil van Dijk.
[211.00 - 220.00] P:1699.72 E:0.096591 |  And then van Dijk forward towards Thiago, in field, Lewis Diaz plays the ball back to Matip.
[220.00 - 227.00] P:1710.78 E:0.098959 |  Over the halfway line, he comes, Elliott now inside, already Liverpool looking to try and pass the ball quite quickly.
[227.00 - 235.00] P:1858.76 E:0.098794 |  Scooped forward by Matip to Alexander-Arnold, Cross though was blocked over on that far side and out it play, it goes for a throw.
[235.00 - 247.00] P:1710.70 E:0.092288 |  Liverpool 4-3-3 against Ajax, 4-3-3, interesting match up that Daly Blint, 32-33, aging against Mo Salah.
[247.00 - 253.00] P:1657.99 E:0.101193 |  Liverpool will look to exploit Ajax in that left back roll.
[253.00 - 257.00] P:1788.26 E:0.110659 |  Liverpool in possession, seeing a lot of the ball in the early stages here.
[257.00 - 262.00] P:1709.67 E:0.108911 |  Stockport of equalised down at Crawley in league two, Crawley one, Stockport one.
[262.00 - 273.00] P:1740.59 E:0.113196 |  Cinecast just trying to feed it down the line to Tijota and it goes out of play that Wrench, his teenage right back, Dutch international is going to take it.
[273.00 - 275.00] P:1679.74 E:0.107262 |  He's come through the academy.
[275.00 - 288.00] P:1696.50 E:0.086706 |  You think about the players that have departed Ajax, obviously Martinez and Antony, combined for 170 million to Manchester United,
[288.00 - 303.00] P:1642.33 E:0.088180 |  but Gravenberg leading to Bayern, O'Nanna, Tagliofico, Ale, 230 million pounds worth of money that they've brought into the club,
[303.00 - 311.00] P:1846.23 E:0.086003 |  as Matip brings the ball out of defence, Harvey Elliott and yet they've won their last seven games.
[311.00 - 321.00] P:1789.18 E:0.094501 |  Salah along the ground, Thiago, Thiago out towards Elliott, right hand side of the penalty area, cuts into on his left foot, crosses,
[321.00 - 330.00] P:1856.25 E:0.109831 |  Ajax being forced back, Cinecast tees himself up for the volley, left footed inside the penalty area and he's skied it out for a goal, kick Neil Neil, Chris up.
[330.00 - 336.00] P:1701.97 E:0.097135 |  Is it me or is there just a better feel about this Liverpool team with Thiago in the middle of the park,
[336.00 - 343.00] P:1678.43 E:0.096191 |  lovely pass out to the right hand side, Harvey Elliott coming inside on his favourite left foot and as the ball was headed clear,
[343.00 - 355.00] P:1703.58 E:0.084179 |  Cinecast decent first touch but full ref at the end, didn't get his left hip up high enough and the ball sailed well over the Ajax crossbar.
[355.00 - 367.00] P:1799.07 E:0.086945 |  Five successive clean sheets by my calculations coming into the game, eight hours and fifty minutes since Ajax last conceded against Groningen.
[367.00 - 378.00] P:1826.84 E:0.089252 |  As Allyson hits the ball long, luminous green goalkeeping out, put away towards our right hand side and it runs out for a Liverpool throw taken quickly.
[379.00 - 389.00] P:1608.42 E:0.086460 |  As Elliott receives a late barge in the back by Taylor in the midfield to Allyson van Dijk who used to play for Groningen of course,
[389.00 - 399.00] P:1838.30 E:0.092839 |  with Taddec actually during their time there as well as at Southampton. The ball is kept in play by Urien Timber, 21 year old defender,
[399.00 - 409.00] P:1819.86 E:0.091820 |  Liverpool take it quickly then they give the ball away, Berghaus looking to try and find Mohamed Kudus who keeps hold of the ball, turns
[409.00 - 418.00] P:1806.88 E:0.099556 |  and then Berghaus tried to hook it into the path of Daily Blint, the left back was never going to get forward and he won't want to get forward either
[418.00 - 422.00] P:1617.59 E:0.097173 |  because he's going to try and keep a handle on Mo Salah.
[422.00 - 432.00] P:1466.85 E:0.086124 |  Absolutely, what a lovely take from Kudus, Virgil van Dijk really tight to him, but maneuvered the ball away from him.
[432.00 - 435.00] P:1594.19 E:0.092343 |  Quite right I think Blint will be more of a back support.
[435.00 - 444.00] P:1631.70 E:0.080930 |  And that left hand side for Ajax, Steven Bergwein ahead of him who's had a sensational start to the season.
[444.00 - 452.00] P:1745.03 E:0.089606 |  I just wonder if Ajax will look to exploit Liverpool and that right hand side defensively.
[452.00 - 460.00] P:1715.67 E:0.093219 |  Well that's where Napoli had so much joy last week in Naples, ex-sider to a leading at Shrewsbury in league one by Goulton Hill,
[460.00 - 469.00] P:1735.34 E:0.094552 |  Middlesbrough conceded again at the Riverside, Middlesbrough and Hill, Cardiff City 2, you have to date with the goals as they go in here on BBC Radio 5 Live
[469.00 - 478.00] P:1783.10 E:0.087690 |  and indeed you might be listening via BBC Sounds as well as Ajax patiently pass the ball across their back line.
[478.00 - 489.00] P:1744.62 E:0.087936 |  Timber to Calvin Bassi from a rangers play-up as he goes forward to Alvarez, now back towards goalkeeper Kasvia.
[489.00 - 496.00] P:1833.18 E:0.116182 |  He didn't really look comfortable there trying to play the ball out and Bassi has put it out of play for a Liverpool throw
[496.00 - 504.00] P:1780.73 E:0.089234 |  that Simacast wants to take on this near side. Simacast not much movement ahead of him so he hangs on to the ball.
[504.00 - 506.00] P:1817.88 E:0.096864 |  Six and a half minutes played, 0-0.
[506.00 - 515.00] P:1673.06 E:0.086569 |  Yeah it wasn't a great pass from Pazvia but I think that's his strength, the ball at his feet, Bassi panicked a little bit there.
[515.00 - 525.00] P:1709.22 E:0.083466 |  Here is Tiago, Tiago with a cross from the left hand side. Alexander-Arnold lays it back, Elliott gets a touch,
