[0.00 - 5.60] P:1575.80 E:0.182317 |  And it is a beautiful evening here on the Côte d'Azur.
[5.60 - 9.40] P:1617.66 E:0.192258 |  From where we sit here we can actually see the hills of Nice.
[9.40 - 18.00] P:1773.60 E:0.206810 |  Lots and lots of little pastel coloured rectangular houses dotted in amongst the trees.
[18.00 - 21.00] P:1671.98 E:0.215598 |  It's a beautiful sky as well. Lovely temperature.
[21.00 - 28.00] P:1788.22 E:0.204155 |  And tonight England need to find their goal-scoring touch here on the Riviera.
[28.00 - 36.00] P:1694.84 E:0.200587 |  Against the underdogs Iceland who've reached the knockout stages of their very first major tournament.
[36.00 - 38.00] P:1599.31 E:0.174768 |  Some achievement now.
[38.00 - 45.00] P:1660.47 E:0.182476 |  But Chris Waddle on our programme just now said if England can't beat Iceland there's something wrong.
[45.00 - 50.00] P:1752.03 E:0.185590 |  So Danny Mills are they going to find their Riviera touch tonight?
[50.00 - 54.00] P:1792.09 E:0.203319 |  I'd be very, very surprised and disappointed if I don't win this game.
[54.00 - 58.00] P:1890.98 E:0.179656 |  2-0, 3-1, whether it may be.
[58.00 - 63.00] P:1834.53 E:0.163321 |  This is Iceland have done incredibly well. I'm not trying to be disrespectful.
[63.00 - 67.00] P:1820.93 E:0.164222 |  They have a very limited pool of players to pick from.
[67.00 - 71.00] P:1794.49 E:0.171990 |  They've done incredibly well to get to this stage.
[71.00 - 79.00] P:1774.55 E:0.185957 |  But if England do not win this game it will be a massive embarrassment of football and proportions.
[79.00 - 84.00] P:1800.04 E:0.190129 |  Now we've spoken a great deal this year about Euro 96 20 years ago.
[84.00 - 94.00] P:1732.63 E:0.189740 |  England have won precisely two of eight knockout ties at World Cups and European Championships since Euro 96.
[94.00 - 98.00] P:1703.68 E:0.199207 |  Danny was involved in one of them, the 3-0 against Denmark that we've mentioned.
[98.00 - 106.00] P:1848.06 E:0.202075 |  The teams tonight, Johard, Wolkak, K-Hill, Smalling and Rose, Dyer, Alli and Rooney, Sturridge, Kane and Sterling.
[106.00 - 111.00] P:1820.40 E:0.198840 |  Captain Rooney winning his 115th cap tonight which brings him level with David Beckham.
[111.00 - 119.00] P:1684.03 E:0.192757 |  Only Peter Shelton has played more times for England than Wayne Rooney who is listening to the countdown.
[119.00 - 125.00] P:1854.11 E:0.216341 |  He's jumping up and Gally Alli begins the game playing it back to Wayne Rooney.
[125.00 - 131.00] P:1842.65 E:0.184881 |  England playing from left to right in the white shirts, white shorts and red socks.
[131.00 - 142.00] P:1798.36 E:0.194036 |  He shirts with the light blue sleeves and Iceland just like Spain earlier playing the same team for the fourth consecutive match at the tournament.
[142.00 - 145.00] P:1543.28 E:0.215276 |  And the ball is out of play for a throwing to England on the half way line.
