[0.00 - 6.00] P:1606.65 E:0.255550 |  Yes, thanks Mark. Welcome to Kaliningrad. We're up here on the Baltic Sea coast.
[6.00 - 12.00] P:1682.68 E:0.247310 |  It's a beautiful evening. There's hardly a cloud in the sky and the sun is shining down on this.
[12.00 - 19.00] P:1754.15 E:0.238772 |  Actually quite compact rectangular stadium on the edge of the city of Kaliningrad.
[19.00 - 24.00] P:1711.89 E:0.289122 |  And we have had a huge cheer inside the stadium because there's now familiar ceremony before the match.
[24.00 - 29.00] P:1803.96 E:0.267773 |  All of the children are unfurling the flags of the two countries.
[29.00 - 34.00] P:1815.40 E:0.299981 |  England, the red and white crosses to the left of where we sit.
[34.00 - 41.00] P:1870.91 E:0.242127 |  And the Belgian flag of black, yellow and red is to the right with the image of the Russian World Cup in the centre circle.
[41.00 - 47.00] P:1672.97 E:0.282708 |  And the teams are now just coming into our sight down in front of the commentary gantry here.
[47.00 - 53.00] P:1732.46 E:0.288096 |  We're up on the second tier. We begin to see the children carrying out the flags ahead of the anthems.
[53.00 - 61.00] P:1721.71 E:0.283451 |  And now the teams as well with Eric Dyer leading out England at the World Cup with Harry Kane rested for this match.
[61.00 - 65.00] P:1775.90 E:0.264359 |  If you've just switched on to us on Five Live, no Harry Kane in the team.
[65.00 - 71.00] P:1832.81 E:0.259224 |  It's going to be Vardy and Rashford up front. I'll run you through the teams in full before we get underway.
[71.00 - 79.00] P:1754.63 E:0.282225 |  But they're just lining up for the anthems. The stadium here, I must say, I get the impression that there is a little bit of momentum growing behind England.
[79.00 - 85.00] P:1829.42 E:0.248767 |  For each group match we have seen more and more England supporters inside the ground.
[85.00 - 93.00] P:1811.28 E:0.270093 |  And as we heard from Rachel Burden who's down behind the hoardings to our left, Rachel says there are officially three and a half thousand England fans.
[93.00 - 98.00] P:1683.93 E:0.269534 |  I just have a feeling with all of the flags and all of the white shirts that there are many more than that.
[98.00 - 104.00] P:1741.89 E:0.254943 |  But we are ready. England and Belgium already qualified for the last 16 of this World Cup.
[104.00 - 109.00] P:1560.12 E:0.235217 |  So this match tonight all about deciding the positions at the top of the table and we're ready for the anthems.
[109.00 - 125.00] P:1762.86 E:0.298058 |  And the bright red and yellow of Le Diable Rouge are unmissable around the stadium. Huge pockets of them in various points splattered around the stands.
[125.00 - 132.00] P:1685.25 E:0.273585 |  T-Ball Courtois is the captain of the Belgian side today with Eden Azard not in the starting lineup.
[132.00 - 137.00] P:1697.21 E:0.270295 |  Vincent Coopney, Roberto Martinez said just they didn't want to risk his fitness in this match.
[137.00 - 149.00] P:1718.54 E:0.262786 |  So as the players complete the handshakes along the line and the Belgian players line up for their team photograph and the England men start to peel off their bright white tracksuits.
[149.00 - 158.00] P:1678.16 E:0.270456 |  This is the team that Gareth Southgate has picked tonight. Eight changes to no Harry Kane in it, no Lingard, no Henderson, no Walker, no Sterling.
[158.00 - 165.00] P:1673.87 E:0.269244 |  The team is Pickfitting goal again, Jones-Stones and Cahill in central defence. Alexander-Arnold and Rose are the wing-backs.
[165.00 - 171.00] P:1655.51 E:0.276389 |  So it's a competitive debut for Trent Alexander-Arnold, the 19-year-old, the youngest man in the squad.
[171.00 - 179.00] P:1826.79 E:0.253777 |  Eric Dyer with Ruben Loftus-Chick and Fabian Delph, either side of him and Marcus Rashford and Jamie Vardy up front.
[179.00 - 195.00] P:1801.44 E:0.269495 |  So for England that represents first starts at this World Cup, first starts at any World Cup for Rashford, Vardy, Dyer, Rose and Delph and first appearances here in Russia at this World Cup for Cahill, Jones and Alexander-Arnold.
[195.00 - 202.00] P:1733.84 E:0.258116 |  In fact, the outfield players, Danny Welbeck is the only man once kickoff here who won't have got onto the field.
[202.00 - 208.00] P:1753.37 E:0.286827 |  And the Belgian side, nine changes for them, Courtois and Boyatta, the only players to keep their places.
