[0.00 - 5.12] P:1580.98 E:0.017439 |  Here we can see David Beckham at the mouth of the tunnel alongside
[5.64 - 11.96] P:1761.20 E:0.034274 |  Luis Figo, of course his teammates at Real Madrid, Ersmard, the referee at the front of the two teams
[11.96 - 13.96] P:1870.54 E:0.034073 |  and here they come for this quarter-final.
[19.64 - 25.32] P:1780.00 E:0.034898 |  Real Madrid unbelievably have supplied four captains during this tournament along with Raoul who's already gone home and
[25.68 - 28.32] P:1681.31 E:0.032845 |  Zidane of course the captain of France the England players
[28.32 - 35.20] P:1785.40 E:0.031770 |  They've all each got a mascot in yellow t-shirts and red shorts standing next to the England players link arms as
[35.84 - 37.44] P:1458.90 E:0.027325 |  we prepare
[37.44 - 43.72] P:1488.81 E:0.029370 |  For the national anthems at Portuguesa the Portuguese national anthem and of course
[44.32 - 49.00] P:1513.88 E:0.025295 |  God save the Queen as the PA asked all fans to respect both
[58.32 - 60.32] P:925.46 E:0.044823 |  Oh
[88.32 - 90.32] P:1899.67 E:0.036479 |  Oh
[118.32 - 120.32] P:981.41 E:0.042742 |  Oh
[148.32 - 150.32] P:1200.03 E:0.042150 |  Oh
[158.60 - 163.60] P:1837.80 E:0.035996 |  Every Portuguese supporter inside the Estadio da Luz who has a scarf held it up cop style
[164.16 - 167.28] P:1763.93 E:0.035682 |  during that rousing rendition of our Portuguesa
[169.20 - 177.20] P:1857.54 E:0.032421 |  As David Beckham leads his England team down the line of the Portuguese players they shake hands they shake hands with the officials
[177.88 - 183.88] P:1877.88 E:0.031063 |  The Lisbon youngsters take the huge flags away the crosses of George to the right the Portuguese flag to the left and
[185.12 - 187.12] P:1904.49 E:0.030824 |  We are almost ready
[187.16 - 191.04] P:1880.80 E:0.026504 |  For this quarter-final the England team just crouch for their photograph
[191.12 - 192.92] P:1829.40 E:0.027004 |  So let's join our commentary team them
[192.92 - 199.24] P:1750.45 E:0.032236 |  We're gonna hear from Graham Taylor throughout the match the England manager at Euro 92 from Terry Butcher England captain
[199.24 - 203.48] P:1807.70 E:0.031458 |  At Italian 90 during that semi-final from Mike Ingham and first
[204.56 - 206.56] P:1727.56 E:0.030880 |  His Alan Greek
[208.20 - 215.40] P:1729.68 E:0.032367 |  Well at last at last the England fans suspect the opposition national anthem about time to
[217.16 - 219.56] P:1808.35 E:0.030605 |  Well for me, this is where it starts
[220.48 - 227.96] P:1726.47 E:0.027228 |  Yeah, the group games are very important and let's face it most expected defeat by France and most expected wins against
[228.44 - 232.80] P:1733.38 E:0.028283 |  Switzerland and Croatia, but this is the game that sorts out
[233.48 - 238.44] P:1663.00 E:0.029326 |  Success from failure and these are the lineups England goalkeeper James
[239.04 - 244.08] P:1679.14 E:0.030383 |  Defenders Neville Terry Campbell and Cole midfielder Beckham Gerard lampart in schools
[244.84 - 249.16] P:1682.64 E:0.030114 |  Strikers on and really really the four goals so far in Euro 2004
[250.12 - 252.12] P:1748.26 E:0.031195 |  Portugal's team has only one change
[252.72 - 259.64] P:1841.05 E:0.031880 |  Nuno Gomez into the suspended and totally ineffectual car letter their goalkeeper is Ricardo their defenders are Miguel
[260.52 - 265.32] P:1769.62 E:0.028909 |  Ricardo Caballo and Rade and Nuno Valente a midfield of Castigna
[265.68 - 273.00] P:1685.18 E:0.028829 |  Manish and then three ahead of them Figo Deco Ronaldo and the one-eyed striker Nuno Gomez the referee is a good one
[273.32 - 278.72] P:1695.35 E:0.030142 |  Ersmire from Switzerland England in their regular kit white shirts with the red flash
[278.96 - 280.96] P:1832.84 E:0.027949 |  Maybe shorts white socks
[281.16 - 287.32] P:1802.27 E:0.027138 |  Portugal in red shirts green shorts and red socks Ersmire just checked with both linesman
[287.52 - 293.20] P:1700.95 E:0.027317 |  The temperature is a little more than we'd have liked it in the mid 80s and humidity is up as well
[293.72 - 300.20] P:1769.29 E:0.028271 |  But there can be no excuses the pitch is perfect the arena is superb and the atmosphere is passionate
[300.80 - 306.04] P:1742.96 E:0.031101 |  England against Portugal for a place in the semi-finals of Euro 2004
[306.04 - 309.80] P:1803.60 E:0.035559 |  We're underway England defending the goal to our left in the first half
[310.20 - 315.64] P:2028.94 E:0.029038 |  And not only for the first time in the tournament to the England that the England fans respect the opposition national anthem
[315.76 - 317.76] P:1936.63 E:0.025184 |  For the first time the right number
[317.96 - 320.36] P:1880.53 E:0.021131 |  I'm not not really surprised Terry
[320.84 - 325.80] P:1685.75 E:0.028335 |  No, it's not it's great great occasion great atmosphere. This is what it's all about. You saying it's right
[325.80 - 329.52] P:1552.49 E:0.028753 |  This is where the tournament starts it does separate the men from the boys here any ambitions
[329.52 - 334.56] P:1758.43 E:0.031608 |  They've got to get through it now here's that Rooney onto all on his offside the flag is quickly up
[335.64 - 341.56] P:1749.21 E:0.026324 |  Worrying black-armed bands this evening in memory of the England fan who was starved to death
[342.40 - 344.40] P:1880.50 E:0.028514 |  here in Lisbon
[344.52 - 346.52] P:1946.70 E:0.029482 |  It's a free kick to Portugal
[346.84 - 351.56] P:1842.52 E:0.035017 |  Ricardo with a gray goalkeeper in Jersey outside of his shorts
[352.96 - 355.52] P:1769.54 E:0.026957 |  They supposed to be a penalty expert Ricardo
[356.16 - 358.76] P:1593.09 E:0.024044 |  Heaven help us if he's employed later in the game
[359.64 - 365.48] P:1688.04 E:0.029832 |  Remember a silver goal or penalties and necessary will settle this quarter final tie
[365.80 - 368.32] P:1744.79 E:0.025704 |  If scores a level at the end of 90 minutes
[368.48 - 373.84] P:1558.33 E:0.025489 |  The ball is played down the right back and run into the defender and run a but it's headed away
[374.40 - 376.84] P:1747.14 E:0.033178 |  Here's Ronaldo and immediately Gary Neville gets in a good
[377.84 - 381.76] P:1764.21 E:0.026156 |  John Terry gets in a good aggressive challenge and the ball's out of play
[381.76 - 385.60] P:1520.77 E:0.022627 |  It's gonna be a throw-in to Portugal new to go new to Valenti one of five
