[0.00 - 2.00] P:1455.62 E:0.126289 |  Shepchenko!
[2.00 - 4.00] P:1627.62 E:0.125021 |  Zidane saves!
[4.00 - 6.00] P:1611.95 E:0.114433 |  For Liverpool!
[6.00 - 9.00] P:1601.77 E:0.116580 |  And against all the odds,
[9.00 - 12.00] P:1689.92 E:0.112884 |  Liverpool have won the Champions League.
[12.00 - 14.00] P:1833.04 E:0.114947 |  Zidane tries to shot!
[14.00 - 16.00] P:1616.76 E:0.112873 |  Oh, a fantastic goal
[16.00 - 20.00] P:1527.52 E:0.110453 |  from one of the greatest players in the world, Zidane!
[20.00 - 22.00] P:1560.61 E:0.129553 |  And there goes the final whistle
[22.00 - 27.00] P:1598.90 E:0.121784 |  as Jürgen Klopp shakes hands with the beaten Maurizio Pozzettino.
[27.00 - 31.00] P:1512.55 E:0.119985 |  The European champions for the sixth time.
[31.00 - 35.00] P:1286.69 E:0.112029 |  Mohamed Salah's lying down in the middle of the Real Madrid half.
[35.00 - 37.00] P:1295.00 E:0.096825 |  This would be a terrible blow.
[37.00 - 40.00] P:1664.45 E:0.111359 |  But you cannot underestimate the size of the blow to Liverpool.
[40.00 - 42.00] P:1669.75 E:0.124492 |  Oh, a head kick! It's in from Bale!
[42.00 - 44.00] P:1476.56 E:0.117984 |  What a goal!
[44.00 - 48.00] P:1503.84 E:0.116350 |  What a brilliant goal in the Champions League final from Gareth Bale,
[48.00 - 50.00] P:1476.57 E:0.106722 |  crushing for Liverpool.
[50.00 - 53.00] P:1563.28 E:0.110574 |  But what a goal from Gareth Bale!
[58.00 - 60.00] P:1421.85 E:0.150923 |  Vensimore!
[60.00 - 62.00] P:1434.89 E:0.118436 |  He's down by Vensimore again!
[62.00 - 65.00] P:1316.74 E:0.122762 |  And Real Madrid take the advantage!
[65.00 - 68.00] P:1615.43 E:0.126631 |  Simacas takes it in and Firmino is there!
[68.00 - 71.00] P:1597.08 E:0.114893 |  On the volley in the six-shot box, excellent finish!
[71.00 - 73.00] P:1108.70 E:0.112148 |  There's always an extra chance, there's always an extra opportunity.
[73.00 - 76.00] P:1148.09 E:0.090275 |  And for us now, in a specific case, it's a Champions League final.
[76.00 - 78.00] P:1413.91 E:0.103440 |  I can't wait to get there and play the game.
[78.00 - 80.00] P:1568.15 E:0.113802 |  Lewisty asks for the header,
[80.00 - 83.00] P:1580.21 E:0.121595 |  and Lewisty asks has got Liverpool's second goal.
[83.00 - 86.00] P:1678.26 E:0.123706 |  And surely they are the Champions League final beckons for Liverpool.
[86.00 - 88.00] P:1116.78 E:0.120959 |  Carvajal with the cross, it's a good one!
[88.00 - 89.00] P:1361.95 E:0.111332 |  Oh, and it in!
[89.00 - 93.00] P:1283.15 E:0.121356 |  And Real Madrid lead by two goals to one!
[93.00 - 97.00] P:930.41 E:0.098086 |  I had the good memory of my time spent in Liverpool on the blue side,
[97.00 - 100.00] P:1321.38 E:0.104539 |  and I'm sure that they will support me.
[100.00 - 103.00] P:1181.90 E:0.116046 |  Vensimore from the penalty spot, scores,
[103.00 - 105.00] P:1290.93 E:0.118499 |  St. Edison the wrong way,
[105.00 - 109.00] P:1085.69 E:0.120135 |  and Real Madrid have now turned this right around.
[109.00 - 113.00] P:1417.30 E:0.124094 |  Mane's away from the challenge of fourth, he's got an open goal,
[113.00 - 119.00] P:1533.68 E:0.120389 |  and he finds it, Sarri Omane secures Liverpool's place in the Champions League final.
[119.00 - 121.00] P:1522.41 E:0.130276 |  There's no stopping Liverpool now.
[125.00 - 129.00] P:1671.39 E:0.093052 |  That was the journey, this is the destination.
[129.00 - 133.00] P:1587.76 E:0.083929 |  The Stade de France, which looks absolutely magnificent.
[133.00 - 136.00] P:1717.84 E:0.098082 |  The still blue sky with a little peppered white cloud,
[136.00 - 140.00] P:1578.56 E:0.083216 |  above the great open bowl of the stadium here.
[140.00 - 144.00] P:1677.41 E:0.087043 |  And Chris Jones in Marseilles said, will you get drama?
[144.00 - 148.00] P:1664.09 E:0.084139 |  Well, Alan Shearer and Chris Sutton are with me in the commentary position.
[148.00 - 152.00] P:1455.54 E:0.080056 |  And I'll be honest, Alan, I wasn't sure we were going to make it.
[152.00 - 155.00] P:1435.72 E:0.104811 |  That's the hardest I've worked in the last 15 years, by the way.
[155.00 - 159.00] P:1428.82 E:0.095737 |  I've never walked or ran so quick in my life.
