[0.00 - 5.60] P:1644.96 E:0.067612 |  Concern for the national icon of Brazil, but he'll be watching from his hospital bed
[5.60 - 10.68] P:1778.01 E:0.105182 |  and he'll be hoping to see Brazil make their way through into the last eights
[10.68 - 16.44] P:1720.84 E:0.092627 |  for a date on Friday afternoon against Croatia who knocked out Japan, albeit on
[16.44 - 21.24] P:1712.37 E:0.097772 |  a penalty shootout, 3-1 in that shootout after it finished 1-1 after extra time.
[21.24 - 26.44] P:1706.59 E:0.103994 |  So we're underway, you're listening to BBC Radio 5 Live, you can also find us on
[27.40 - 29.88] P:1348.56 E:0.101608 |  the BBC Sounds app as well, if you haven't done so already.
[29.88 - 33.92] P:1430.79 E:0.100374 |  It's no doubt will have been heavily cloaked throughout this tournament so far as they
[33.92 - 38.08] P:1593.71 E:0.100477 |  look for an early ball through to try and get Richalice in a way, but it was sent out
[38.08 - 45.00] P:1614.88 E:0.101006 |  to this near side for Kim Jin-soo, the left back for South Korea all in red playing from
[45.00 - 50.84] P:1637.59 E:0.100616 |  right to left as we look, ball forward to Sasson and then the flag is up and it's offside.
[50.84 - 55.96] P:1664.74 E:0.100384 |  The referee tonight is Clemente Terpain from France, one of the more experienced officials.
[56.84 - 64.00] P:1667.07 E:0.091596 |  Jerome Brassard is his compatriot who's in charge of the VAR and whilst only the
[64.00 - 70.72] P:1598.19 E:0.089255 |  Califa International Stadium has seen more goals, 28-7 so far at this tournament,
[70.72 - 82.28] P:1590.93 E:0.091930 |  Stadium 9-7-4 is second on that list with 16-6, but these two sides do not have a track record
[82.28 - 85.60] P:1804.68 E:0.091507 |  of scoring goals in a first half.
[85.60 - 91.36] P:1597.96 E:0.102682 |  For South Korea, 11 of their last 12 goals in a World Cup have been scored after the break
[91.36 - 96.84] P:1606.45 E:0.099616 |  and Brazil have failed to score in the first half of any of their last five World Cup games.
[96.84 - 100.56] P:1706.48 E:0.090313 |  You're looking at that negatively, aren't you?
[100.56 - 104.80] P:1649.72 E:0.096819 |  I'm looking at it like both sides are due.
[104.80 - 111.40] P:1532.50 E:0.097932 |  I'm thinking Curse of the Commentator, we could have a six-goal thriller and it's 3-3
[111.52 - 119.12] P:1741.99 E:0.088313 |  going in by the time we hand back to Marc Chapman with our world hold of the break.
[119.12 - 127.28] P:1728.24 E:0.104815 |  This near side with Rafinha, they go back, Marquinhos plays a square ball out to Militão
[127.28 - 137.24] P:1659.90 E:0.102049 |  at right back, back to Alisson very much established as the Brazilian number one despite the competition
[137.24 - 142.56] P:1609.58 E:0.105806 |  of Manchester City's Edison, the undisputed number one Alisson really.
[142.56 - 150.04] P:1758.14 E:0.099208 |  This is his 60th cap tonight as Rich Alisson looking towards Neymar and he's kept 40 clean
[150.04 - 155.40] P:1467.38 E:0.090754 |  sheets in 59 appearances which is mightily impressive.
[155.40 - 162.56] P:1545.15 E:0.101551 |  On this near side for South Korea is Kim Jin-soo who hits it early, Son makes the run, keeps
[162.56 - 167.92] P:1462.36 E:0.102201 |  the ball in play, top them play at level of the penalty area but Rafinha comes back
[167.92 - 175.12] P:1553.45 E:0.105512 |  to help out and there is Militão and Casamiro and now they can open it up for Brazil and
[175.12 - 181.16] P:1587.04 E:0.105135 |  Neymar quickly out towards Vinicius Junior, far side to left.
[181.16 - 185.00] P:1583.78 E:0.117745 |  Ball with the diagonal one inside, laid off by Rich Alisson, the return ball from Neymar
[185.00 - 189.20] P:1625.00 E:0.109341 |  to Rich Alisson was cut out there by Kim Young-guam.
[190.20 - 195.04] P:1550.80 E:0.109232 |  Yes, the heart of that South Korea, Rich Alisson just popped that off, it was just behind
[195.04 - 201.08] P:1455.28 E:0.096569 |  Neymar, couldn't release the ball back to Rich Alisson but Brazil have set up as we
[201.08 - 209.08] P:1559.91 E:0.094721 |  expected, that back four, Casamiro sitting in front of that back four, Neymar and Pequeta
[209.08 - 216.16] P:1408.82 E:0.093576 |  playing Hyabin midfield, Vinicius Junior off the left and Rafinha off the right, Rich Alisson,
[216.16 - 217.16] P:1507.05 E:0.104530 |  central striker.
[218.12 - 223.44] P:1597.27 E:0.104761 |  Rafinha just passed the ball straight out of play, almost his left shoulder, rolled
